Species,English name,Family,Species_qts
Liparis fabricii,Gelatinous snailfish,Liparidae,"""Liparis fabricii"""
Liparis inquilinus,Inquiline snailfish,Liparidae,"""Liparis inquilinus"""
Liparis pulchellus,Showy snailfish,Liparidae,"""Liparis pulchellus"""
Lipocheilus carnolabrum,Tang's snapper,Lutjanidae,"""Lipocheilus carnolabrum"""
Lipophrys pholis,Shanny,Blenniidae,"""Lipophrys pholis"""
Lithognathus aureti,West coast seabream,Sparidae,"""Lithognathus aureti"""
Lithognathus lithognathus,White steenbras,Sparidae,"""Lithognathus lithognathus"""
Lithognathus mormyrus,Sand steenbras,Sparidae,"""Lithognathus mormyrus"""
Lobianchia dofleini,Dofleini's lantern fish,Myctophidae,"""Lobianchia dofleini"""
Lobocheilos bo,,Cyprinidae,"""Lobocheilos bo"""
Lobotes surinamensis,Tripletail,Lobotidae,"""Lobotes surinamensis"""
Lophius americanus,American angler,Lophiidae,"""Lophius americanus"""
Lophius budegassa,Blackbellied angler,Lophiidae,"""Lophius budegassa"""
Lophius gastrophysus,Blackfin goosefish,Lophiidae,"""Lophius gastrophysus"""
Lophius piscatorius,Angler,Lophiidae,"""Lophius piscatorius"""
Lophius vomerinus,Devil anglerfish,Lophiidae,"""Lophius vomerinus"""
Lopholatilus chamaeleonticeps,Great northern tilefish,Latilidae,"""Lopholatilus chamaeleonticeps"""
Lopholatilus villarii,Tile fish,Latilidae,"""Lopholatilus villarii"""
Lota lota,Burbot,Lotidae,"""Lota lota"""
Loxodon macrorhinus,Sliteye shark,Carcharhinidae,"""Loxodon macrorhinus"""
Luciobarbus albanicus,,Cyprinidae,"""Luciobarbus albanicus"""
Luciobarbus bocagei,,Cyprinidae,"""Luciobarbus bocagei"""
Luciobarbus brachycephalus,Aral barbel,Cyprinidae,"""Luciobarbus brachycephalus"""
Luciobarbus esocinus,Mangar,Cyprinidae,"""Luciobarbus esocinus"""
Luciobarbus graellsii,,Cyprinidae,"""Luciobarbus graellsii"""
Luciobarbus kottelati,Menderes barbel,Cyprinidae,"""Luciobarbus kottelati"""
Luciobarbus sclateri,Andalusian barbel,Cyprinidae,"""Luciobarbus sclateri"""
Luciobarbus xanthopterus,Yellowfin barbell,Cyprinidae,"""Luciobarbus xanthopterus"""
Luciopimelodus pati,Pati,Pimelodidae,"""Luciopimelodus pati"""
Lumpenus lampretaeformis,Snakeblenny,Lumpenidae,"""Lumpenus lampretaeformis"""
Lutjanus adetii,Yellow-banded snapper,Lutjanidae,"""Lutjanus adetii"""
Lutjanus alexandrei,,Lutjanidae,"""Lutjanus alexandrei"""
Lutjanus analis,Mutton snapper,Lutjanidae,"""Lutjanus analis"""
Lutjanus apodus,Schoolmaster snapper,Lutjanidae,"""Lutjanus apodus"""
Lutjanus argentimaculatus,Mangrove red snapper,Lutjanidae,"""Lutjanus argentimaculatus"""
Lutjanus argentiventris,Yellow snapper,Lutjanidae,"""Lutjanus argentiventris"""
Lutjanus bohar,Two-spot red snapper,Lutjanidae,"""Lutjanus bohar"""
Lutjanus boutton,Moluccan snapper,Lutjanidae,"""Lutjanus boutton"""
Lutjanus buccanella,Blackfin snapper,Lutjanidae,"""Lutjanus buccanella"""
Lutjanus campechanus,Northern red snapper,Lutjanidae,"""Lutjanus campechanus"""
Lutjanus carponotatus,Spanish flag snapper,Lutjanidae,"""Lutjanus carponotatus"""
Lutjanus cyanopterus,Cubera snapper,Lutjanidae,"""Lutjanus cyanopterus"""
Lutjanus ehrenbergii,Blackspot snapper,Lutjanidae,"""Lutjanus ehrenbergii"""
Lutjanus erythropterus,Crimson snapper,Lutjanidae,"""Lutjanus erythropterus"""
Lutjanus fulviflamma,Dory snapper,Lutjanidae,"""Lutjanus fulviflamma"""
Lutjanus fulvus,Blacktail snapper,Lutjanidae,"""Lutjanus fulvus"""
Lutjanus gibbus,Humpback red snapper,Lutjanidae,"""Lutjanus gibbus"""
Lutjanus griseus,Grey snapper,Lutjanidae,"""Lutjanus griseus"""
Lutjanus guttatus,Spotted rose snapper,Lutjanidae,"""Lutjanus guttatus"""
Lutjanus jocu,Dog snapper,Lutjanidae,"""Lutjanus jocu"""
Lutjanus johnii,John's snapper,Lutjanidae,"""Lutjanus johnii"""
Lutjanus kasmira,Common bluestripe snapper,Lutjanidae,"""Lutjanus kasmira"""
Lutjanus lutjanus,Bigeye snapper,Lutjanidae,"""Lutjanus lutjanus"""
Lutjanus mahogoni,Mahogany snapper,Lutjanidae,"""Lutjanus mahogoni"""
Lutjanus malabaricus,Malabar blood snapper,Lutjanidae,"""Lutjanus malabaricus"""
Lutjanus monostigma,One-spot snapper,Lutjanidae,"""Lutjanus monostigma"""
Lutjanus peru,Pacific red snapper,Lutjanidae,"""Lutjanus peru"""
Lutjanus purpureus,Southern red snapper,Lutjanidae,"""Lutjanus purpureus"""
Lutjanus quinquelineatus,Five-lined snapper,Lutjanidae,"""Lutjanus quinquelineatus"""
Lutjanus rivulatus,Blubberlip snapper,Lutjanidae,"""Lutjanus rivulatus"""
Lutjanus sanguineus,Humphead snapper,Lutjanidae,"""Lutjanus sanguineus"""
Lutjanus sebae,Emperor red snapper,Lutjanidae,"""Lutjanus sebae"""
Lutjanus synagris,Lane snapper,Lutjanidae,"""Lutjanus synagris"""
Lutjanus timoriensis,Timor snapper,Lutjanidae,"""Lutjanus timoriensis"""
Lutjanus vitta,Brownstripe red snapper,Lutjanidae,"""Lutjanus vitta"""
Lutjanus vivanus,Silk snapper,Lutjanidae,"""Lutjanus vivanus"""
Luxilus chrysocephalus,Striped shiner,Leuciscidae,"""Luxilus chrysocephalus"""
Lycengraulis grossidens,Atlantic sabretooth anchovy,Engraulidae,"""Lycengraulis grossidens"""
Lycodes albolineatus,Whitebar eelpout,Zoarcidae,"""Lycodes albolineatus"""
Lycodes brunneofasciatus,Tawnystripe eelpout,Zoarcidae,"""Lycodes brunneofasciatus"""
Lycodes frigidus,Glacial eelpout,Zoarcidae,"""Lycodes frigidus"""
Lycodes gracilis,,Zoarcidae,"""Lycodes gracilis"""
Lycodes pacificus,Blackbelly eelpout,Zoarcidae,"""Lycodes pacificus"""
Lycodes squamiventer,Scalebelly eelpout,Zoarcidae,"""Lycodes squamiventer"""
Maccullochella ikei,Clarence river cod,Percichthyidae,"""Maccullochella ikei"""
Maccullochella peelii,Murray cod,Percichthyidae,"""Maccullochella peelii"""
Macquaria ambigua,Golden perch,Percichthyidae,"""Macquaria ambigua"""
Macrhybopsis aestivalis,Speckled chub,Leuciscidae,"""Macrhybopsis aestivalis"""
Macrodon ancylodon,King weakfish,Sciaenidae,"""Macrodon ancylodon"""
Macrodon atricauda,Southern King Weakfish,Sciaenidae,"""Macrodon atricauda"""
Macrognathus maculatus,Frecklefin eel,Mastacembelidae,"""Macrognathus maculatus"""
Macrognathus pancalus,Barred spiny eel,Mastacembelidae,"""Macrognathus pancalus"""
Macroramphosus gracilis,Slender snipefish,Centriscidae,"""Macroramphosus gracilis"""
Macroramphosus scolopax,Longspine snipefish,Centriscidae,"""Macroramphosus scolopax"""
Macrourus berglax,Roughhead grenadier,Macrouridae,"""Macrourus berglax"""
Macrourus whitsoni,Whitson's grenadier,Macrouridae,"""Macrourus whitsoni"""
Macruronus magellanicus,Patagonian grenadier,Macruronidae,"""Macruronus magellanicus"""
Macruronus novaezelandiae,Blue grenadier,Macruronidae,"""Macruronus novaezelandiae"""
Makaira mazara,Indo-Pacific blue marlin,Istiophoridae,"""Makaira mazara"""
Makaira nigricans,Blue marlin,Istiophoridae,"""Makaira nigricans"""
Malacocottus zonurus,Darkfin sculpin,Psychrolutidae,"""Malacocottus zonurus"""
Malacoraja senta,Smooth skate,Rajidae,"""Malacoraja senta"""
Mallotus villosus,Capelin,Osmeridae,"""Mallotus villosus"""
Marcusenius macrolepidotus,Bulldog,Mormyridae,"""Marcusenius macrolepidotus"""
Marcusenius monteiri,Monteiri's bulldog,Mormyridae,"""Marcusenius monteiri"""
Mastacembelus mastacembelus,Euphrates spiny eel,Mastacembelidae,"""Mastacembelus mastacembelus"""
Masturus lanceolatus,Sharptail mola,Molidae,"""Masturus lanceolatus"""
Maurolicus muelleri,Silvery lightfish,Sternoptychidae,"""Maurolicus muelleri"""
Maurolicus stehmanni,,Sternoptychidae,"""Maurolicus stehmanni"""
Mayaheros urophthalmus,Mexican mojarra,Cichlidae,"""Mayaheros urophthalmus"""
Megalaspis cordyla,Torpedo scad,Carangidae,"""Megalaspis cordyla"""
Megaleporinus obtusidens,,Anostomidae,"""Megaleporinus obtusidens"""
Megalobrama amblycephala,Wuchang bream,Xenocyprididae,"""Megalobrama amblycephala"""
Megalobrama mantschuricus,,Xenocyprididae,"""Megalobrama mantschuricus"""
Megalobrama pellegrini,,Xenocyprididae,"""Megalobrama pellegrini"""
Megalobrama terminalis,Black Amur bream,Xenocyprididae,"""Megalobrama terminalis"""
Megalocottus platycephalus,Belligerent sculpin,Cottidae,"""Megalocottus platycephalus"""
Megalops atlanticus,Tarpon,Megalopidae,"""Megalops atlanticus"""
Melanogrammus aeglefinus,Haddock,Gadidae,"""Melanogrammus aeglefinus"""
Melanotaenia fluviatilis,Murray River rainbowfish,Melanotaeniidae,"""Melanotaenia fluviatilis"""
Melichthys niger,Black triggerfish,Balistidae,"""Melichthys niger"""
Mene maculata,Moonfish,Menidae,"""Mene maculata"""
Menidia extensa,Waccamaw silverside,Atherinopsidae,"""Menidia extensa"""
Menidia menidia,Atlantic silverside,Atherinopsidae,"""Menidia menidia"""
Menticirrhus americanus,Southern kingcroaker,Sciaenidae,"""Menticirrhus americanus"""
Menticirrhus saxatilis,Northern kingfish,Sciaenidae,"""Menticirrhus saxatilis"""
Menticirrhus undulatus,California kingcroaker,Sciaenidae,"""Menticirrhus undulatus"""
Merlangius merlangus,Whiting,Gadidae,"""Merlangius merlangus"""
Merluccius albidus,Offshore silver hake,Merlucciidae,"""Merluccius albidus"""
Merluccius angustimanus,Panama hake,Merlucciidae,"""Merluccius angustimanus"""
Merluccius australis,Southern hake,Merlucciidae,"""Merluccius australis"""
Merluccius bilinearis,Silver hake,Merlucciidae,"""Merluccius bilinearis"""
Merluccius capensis,Shallow-water Cape hake,Merlucciidae,"""Merluccius capensis"""
Merluccius gayi,South Pacific hake,Merlucciidae,"""Merluccius gayi"""
Merluccius hubbsi,Argentine hake,Merlucciidae,"""Merluccius hubbsi"""
Merluccius merluccius,European hake,Merlucciidae,"""Merluccius merluccius"""
Merluccius paradoxus,Deep-water Cape hake,Merlucciidae,"""Merluccius paradoxus"""
Merluccius peruanus,Peruvian hake,Merlucciidae,"""Merluccius peruanus"""
Merluccius polli,Benguela hake,Merlucciidae,"""Merluccius polli"""
Merluccius productus,North Pacific hake,Merlucciidae,"""Merluccius productus"""
Merluccius senegalensis,Senegalese hake,Merlucciidae,"""Merluccius senegalensis"""
Mesogobius batrachocephalus,Knout goby,Gobiidae,"""Mesogobius batrachocephalus"""
Metelectrona ventralis,Flaccid lanternfish,Myctophidae,"""Metelectrona ventralis"""
Meuschenia scaber,Velvet leatherjacket,Monacanthidae,"""Meuschenia scaber"""
Micralestes acutidens,Sharptooth tetra,Alestidae,"""Micralestes acutidens"""
Microchirus azevia,,Soleidae,"""Microchirus azevia"""
Microchirus theophila,Bastard sole,Soleidae,"""Microchirus theophila"""
Microchirus variegatus,Thickback sole,Soleidae,"""Microchirus variegatus"""
Microgobius thalassinus,Green goby,Gobiidae,"""Microgobius thalassinus"""
Micromesistius australis,Southern blue whiting,Gadidae,"""Micromesistius australis"""
Micromesistius poutassou,Blue whiting,Gadidae,"""Micromesistius poutassou"""
Micrometrus aurora,Reef perch,Embiotocidae,"""Micrometrus aurora"""
Microphysogobio amurensis,Amur longnose gudgeon,Gobionidae,"""Microphysogobio amurensis"""
Micropogonias furnieri,Whitemouth croaker,Sciaenidae,"""Micropogonias furnieri"""
Micropogonias megalops,,Sciaenidae,"""Micropogonias megalops"""
Micropogonias undulatus,Atlantic croaker,Sciaenidae,"""Micropogonias undulatus"""
Micropterus dolomieu,Smallmouth bass,Centrarchidae,"""Micropterus dolomieu"""
Micropterus salmoides,Largemouth black bass,Centrarchidae,"""Micropterus salmoides"""
Microstomus achne,Slime flounder,Pleuronectidae,"""Microstomus achne"""
Microstomus kitt,Lemon sole,Pleuronectidae,"""Microstomus kitt"""
Microstomus pacificus,Dover sole,Pleuronectidae,"""Microstomus pacificus"""
Miichthys miiuy,Mi-iuy croaker,Sciaenidae,"""Miichthys miiuy"""
Milyeringa veritas,Cave gudgeon,Milyeringidae,"""Milyeringa veritas"""
Mirogrex terraesanctae,Kinneret bleak,Leuciscidae,"""Mirogrex terraesanctae"""
Misgurnus anguillicaudatus,Pond loach,Cobitidae,"""Misgurnus anguillicaudatus"""
Misgurnus fossilis,Weatherfish,Cobitidae,"""Misgurnus fossilis"""
Mistichthys luzonensis,Sinarapan,Gobiidae,"""Mistichthys luzonensis"""
Mobula birostris,Giant manta,Mobulidae,"""Mobula birostris"""
Mobula japanica,Spinetail mobula,Mobulidae,"""Mobula japanica"""
Moenkhausia dichroura,Bandtail tetra,Characidae,"""Moenkhausia dichroura"""
Mola mola,Ocean sunfish,Molidae,"""Mola mola"""
Molva dypterygia,Blue ling,Lotidae,"""Molva dypterygia"""
Molva molva,Ling,Lotidae,"""Molva molva"""
Monocentris reedi,Pinecone fish,Monocentridae,"""Monocentris reedi"""
Monochirus atlanticus,,Soleidae,"""Monochirus atlanticus"""
Monochirus hispidus,Whiskered sole,Soleidae,"""Monochirus hispidus"""
Monopterus albus,Asian swamp eel,Synbranchidae,"""Monopterus albus"""
Mora moro,Common mora,Moridae,"""Mora moro"""
Mormyrops anguilloides,Cornish jack,Mormyridae,"""Mormyrops anguilloides"""
Mormyrus kannume,Elephant-snout fish,Mormyridae,"""Mormyrus kannume"""
Mormyrus lacerda,Western bottlenose mormyrid,Mormyridae,"""Mormyrus lacerda"""
Mormyrus longirostris,Eastern bottlenose mormyrid,Mormyridae,"""Mormyrus longirostris"""
Mormyrus rume,Mormyrids,Mormyridae,"""Mormyrus rume"""
Morone americana,White perch,Moronidae,"""Morone americana"""
Morone chrysops,White bass,Moronidae,"""Morone chrysops"""
Morone mississippiensis,Yellow bass,Moronidae,"""Morone mississippiensis"""
Morone saxatilis,Striped bass,Moronidae,"""Morone saxatilis"""
Moxostoma duquesnei,Black redhorse,Catostomidae,"""Moxostoma duquesnei"""
Moxostoma erythrurum,Golden redhorse,Catostomidae,"""Moxostoma erythrurum"""
Mugil bananensis,Banana mullet,Mugilidae,"""Mugil bananensis"""
Mugil cephalus,Flathead grey mullet,Mugilidae,"""Mugil cephalus"""
Mugil curema,White mullet,Mugilidae,"""Mugil curema"""
Mugil hospes,Hospe mullet,Mugilidae,"""Mugil hospes"""
Mugil incilis,Parassi mullet,Mugilidae,"""Mugil incilis"""
Mugil liza,Lebranche mullet,Mugilidae,"""Mugil liza"""
Mugil trichodon,Fantail mullet,Mugilidae,"""Mugil trichodon"""
Mulloidichthys flavolineatus,Yellowstripe goatfish,Mullidae,"""Mulloidichthys flavolineatus"""
Mulloidichthys martinicus,Yellow goatfish,Mullidae,"""Mulloidichthys martinicus"""
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,"""Mulloidichthys vanicolensis"""
Mullus barbatus,Red mullet,Mullidae,"""Mullus barbatus"""
Mullus ponticus,Blunt-snouted mullet,Mullidae,"""Mullus ponticus"""
Mullus surmuletus,Surmullet,Mullidae,"""Mullus surmuletus"""
Muraena augusti,,Muraenidae,"""Muraena augusti"""
Muraena helena,Mediterranean moray,Muraenidae,"""Muraena helena"""
Muraenesox bagio,Common pike conger,Muraenesocidae,"""Muraenesox bagio"""
Muraenesox cinereus,Daggertooth pike conger,Muraenesocidae,"""Muraenesox cinereus"""
Muraenolepis microps,Smalleye moray cod,Muraenolepididae,"""Muraenolepis microps"""
Mustelus antarcticus,Gummy shark,Triakidae,"""Mustelus antarcticus"""
Mustelus asterias,Starry smooth-hound,Triakidae,"""Mustelus asterias"""
Mustelus californicus,Gray smoothhound,Triakidae,"""Mustelus californicus"""
Mustelus canis,Dusky smooth-hound,Triakidae,"""Mustelus canis"""
Mustelus griseus,Spotless smooth-hound,Triakidae,"""Mustelus griseus"""
Mustelus henlei,Brown smooth-hound,Triakidae,"""Mustelus henlei"""
Mustelus lenticulatus,Spotted estuary smooth-hound,Triakidae,"""Mustelus lenticulatus"""
Mustelus manazo,Starspotted smooth-hound,Triakidae,"""Mustelus manazo"""
Mustelus mustelus,Smooth-hound,Triakidae,"""Mustelus mustelus"""
Mustelus punctulatus,Blackspotted smooth-hound,Triakidae,"""Mustelus punctulatus"""
Mustelus schmitti,Narrownose smooth-hound,Triakidae,"""Mustelus schmitti"""
Mycteroperca bonaci,Black grouper,Epinephelidae,"""Mycteroperca bonaci"""
Mycteroperca interstitialis,Yellowmouth grouper,Epinephelidae,"""Mycteroperca interstitialis"""
Mycteroperca microlepis,Gag,Epinephelidae,"""Mycteroperca microlepis"""
Mycteroperca olfax,Sailfin grouper,Epinephelidae,"""Mycteroperca olfax"""
Mycteroperca phenax,Scamp,Epinephelidae,"""Mycteroperca phenax"""
Mycteroperca rosacea,Leopard grouper,Epinephelidae,"""Mycteroperca rosacea"""
Mycteroperca rubra,Mottled grouper,Epinephelidae,"""Mycteroperca rubra"""
Mycteroperca tigris,Tiger grouper,Epinephelidae,"""Mycteroperca tigris"""
Mycteroperca venenosa,Yellowfin grouper,Epinephelidae,"""Mycteroperca venenosa"""
Myctophum nitidulum,Pearly lanternfish,Myctophidae,"""Myctophum nitidulum"""
Myctophum punctatum,Spotted lanternfish,Myctophidae,"""Myctophum punctatum"""
Myliobatis californica,Bat eagle ray,Myliobatidae,"""Myliobatis californica"""
Mylochromis anaphyrmus,,Cichlidae,"""Mylochromis anaphyrmus"""
Mylopharyngodon piceus,Black carp,Xenocyprididae,"""Mylopharyngodon piceus"""
Myoxocephalus brandtii,,Cottidae,"""Myoxocephalus brandtii"""
Myoxocephalus jaok,Plain sculpin,Cottidae,"""Myoxocephalus jaok"""
Myoxocephalus octodecemspinosus,Longhorn sculpin,Cottidae,"""Myoxocephalus octodecemspinosus"""
Myoxocephalus polyacanthocephalus,Great sculpin,Cottidae,"""Myoxocephalus polyacanthocephalus"""
Myoxocephalus quadricornis,Fourhorn sculpin,Cottidae,"""Myoxocephalus quadricornis"""
Myoxocephalus scorpius,Shorthorn sculpin,Cottidae,"""Myoxocephalus scorpius"""
Myoxocephalus stelleri,Steller's sculpin,Cottidae,"""Myoxocephalus stelleri"""
Myripristis amaena,Brick soldierfish,Holocentridae,"""Myripristis amaena"""
Myripristis murdjan,Pinecone soldierfish,Holocentridae,"""Myripristis murdjan"""
Mystus gulio,Long whiskers catfish,Bagridae,"""Mystus gulio"""
Mystus tengara,Tengara catfish,Bagridae,"""Mystus tengara"""
Myxus elongatus,Sand grey mullet,Mugilidae,"""Myxus elongatus"""
Myzopsetta ferruginea,Yellowtail flounder,Pleuronectidae,"""Myzopsetta ferruginea"""
Myzopsetta punctatissima,Dotted flounder,Pleuronectidae,"""Myzopsetta punctatissima"""
Nandus nandus,Gangetic leaffish,Nandidae,"""Nandus nandus"""
Nannatherina balstoni,Balston's pygmy perch,Percichthyidae,"""Nannatherina balstoni"""
Nannoperca australis,Southern pygmy perch,Percichthyidae,"""Nannoperca australis"""
Nannoperca variegata,Ewens pygmy perch,Percichthyidae,"""Nannoperca variegata"""
Nannoperca vittata,Western pygmy perch,Percichthyidae,"""Nannoperca vittata"""
Naso annulatus,Whitemargin unicornfish,Acanthuridae,"""Naso annulatus"""
Naso brachycentron,Humpback unicornfish,Acanthuridae,"""Naso brachycentron"""
Naso brevirostris,Spotted unicornfish,Acanthuridae,"""Naso brevirostris"""
Naso hexacanthus,Sleek unicornfish,Acanthuridae,"""Naso hexacanthus"""
Naso lituratus,Orangespine unicornfish,Acanthuridae,"""Naso lituratus"""
Naso tuberosus,Humpnose unicornfish,Acanthuridae,"""Naso tuberosus"""
Naso unicornis,Bluespine unicornfish,Acanthuridae,"""Naso unicornis"""
Naso vlamingii,Bignose unicornfish,Acanthuridae,"""Naso vlamingii"""
Naucrates ductor,Pilotfish,Carangidae,"""Naucrates ductor"""
Negaprion brevirostris,Lemon shark,Carcharhinidae,"""Negaprion brevirostris"""
Nelusetta ayraud,Chinaman-leatherjacket,Monacanthidae,"""Nelusetta ayraud"""
Nemacheilus spiniferus,,Nemacheilidae,"""Nemacheilus spiniferus"""
Nemacheilus triangularis,,Nemacheilidae,"""Nemacheilus triangularis"""
Nemadactylus macropterus,Tarakihi,Latridae,"""Nemadactylus macropterus"""
Nemapteryx caelata,Engraved catfish,Ariidae,"""Nemapteryx caelata"""
Nematabramis everetti,Sabah Danio,Danionidae,"""Nematabramis everetti"""
Nematalosa erebi,Australian river gizzard shad,Dorosomatidae,"""Nematalosa erebi"""
Nematalosa nasus,Bloch's gizzard shad,Dorosomatidae,"""Nematalosa nasus"""
Nematalosa vlaminghi,Perth herring,Dorosomatidae,"""Nematalosa vlaminghi"""
Nemichthys scolopaceus,Slender snipe eel,Nemichthyidae,"""Nemichthys scolopaceus"""
Nemipterus balinensoides,Dwarf threadfin bream,Nemipteridae,"""Nemipterus balinensoides"""
Nemipterus bathybius,Yellowbelly threadfin bream,Nemipteridae,"""Nemipterus bathybius"""
Nemipterus bipunctatus,Delagoa threadfin bream,Nemipteridae,"""Nemipterus bipunctatus"""
Nemipterus furcosus,Fork-tailed threadfin bream,Nemipteridae,"""Nemipterus furcosus"""
Nemipterus hexodon,Ornate threadfin bream,Nemipteridae,"""Nemipterus hexodon"""
Nemipterus japonicus,Japanese threadfin bream,Nemipteridae,"""Nemipterus japonicus"""
Nemipterus marginatus,Red filament threadfin bream,Nemipteridae,"""Nemipterus marginatus"""
Nemipterus mesoprion,Mauvelip threadfin bream,Nemipteridae,"""Nemipterus mesoprion"""
Nemipterus nematophorus,Doublewhip threadfin bream,Nemipteridae,"""Nemipterus nematophorus"""
Nemipterus nemurus,Redspine threadfin bream,Nemipteridae,"""Nemipterus nemurus"""
Nemipterus peronii,Notchedfin threadfin bream,Nemipteridae,"""Nemipterus peronii"""
Nemipterus randalli,Randall's threadfin bream,Nemipteridae,"""Nemipterus randalli"""
Nemipterus tambuloides,Fivelined threadfin bream,Nemipteridae,"""Nemipterus tambuloides"""
Nemipterus thosaporni,Palefin threadfin bream,Nemipteridae,"""Nemipterus thosaporni"""
Nemipterus virgatus,Golden threadfin bream,Nemipteridae,"""Nemipterus virgatus"""
Nemipterus zysron,Slender threadfin bream,Nemipteridae,"""Nemipterus zysron"""
Neobola stellae,,Danionidae,"""Neobola stellae"""
Neoceratodus forsteri,Australian lungfish,Neoceratodontidae,"""Neoceratodus forsteri"""
Neochelon falcipinnis,Sicklefin mullet,Mugilidae,"""Neochelon falcipinnis"""
Neocyttus rhomboidalis,Spiky oreo,Oreosomatidae,"""Neocyttus rhomboidalis"""
Neogobius caspius,Caspian goby,Gobiidae,"""Neogobius caspius"""
Neogobius fluviatilis,Monkey goby,Gobiidae,"""Neogobius fluviatilis"""
Neogobius melanostomus,Round goby,Gobiidae,"""Neogobius melanostomus"""
Neoniphon sammara,Sammara squirrelfish,Holocentridae,"""Neoniphon sammara"""
Neosalanx pseudotaihuensis,,Salangidae,"""Neosalanx pseudotaihuensis"""
Neosalanx taihuensis,Yangtze icefish,Salangidae,"""Neosalanx taihuensis"""
Neoscorpis lithophilus,Stone-bream,Kyphosidae,"""Neoscorpis lithophilus"""
Neotrygon kuhlii,Blue-spotted stingray,Dasyatidae,"""Neotrygon kuhlii"""
Nerophis ophidion,Straightnose pipefish,Syngnathidae,"""Nerophis ophidion"""
Netuma thalassina,Giant catfish,Ariidae,"""Netuma thalassina"""
Nezumia aequalis,Common Atlantic grenadier,Macrouridae,"""Nezumia aequalis"""
Nezumia bairdii,Marlin-spike grenadier,Macrouridae,"""Nezumia bairdii"""
Nezumia liolepis,Smooth grenadier,Macrouridae,"""Nezumia liolepis"""
Nezumia sclerorhynchus,Roughtip grenadier,Macrouridae,"""Nezumia sclerorhynchus"""
Nezumia stelgidolepis,California grenadier,Macrouridae,"""Nezumia stelgidolepis"""
Nibea albiflora,Yellow drum,Sciaenidae,"""Nibea albiflora"""
Nibea maculata,Blotched croaker,Sciaenidae,"""Nibea maculata"""
Notacanthus chemnitzii,Snubnosed spiny eel,Notacanthidae,"""Notacanthus chemnitzii"""
Notarius troschelii,Chili sea catfish,Ariidae,"""Notarius troschelii"""
Nothobranchius furzeri,Turquoise killifish,Nothobranchiidae,"""Nothobranchius furzeri"""
Notolabrus celidotus,Spotty,Labridae,"""Notolabrus celidotus"""
Notolabrus fucicola,Yellow-saddled wrasse,Labridae,"""Notolabrus fucicola"""
Notolabrus parilus,Brownspotted wrasse,Labridae,"""Notolabrus parilus"""
Notolychnus valdiviae,Topside lampfish,Myctophidae,"""Notolychnus valdiviae"""
Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae,"""Notorynchus cepedianus"""
Notoscopelus elongatus,,Myctophidae,"""Notoscopelus elongatus"""
Notoscopelus kroyeri,Lancet fish,Myctophidae,"""Notoscopelus kroyeri"""
Notothenia coriiceps,Black rockcod,Nototheniidae,"""Notothenia coriiceps"""
Notothenia neglecta,Yellowbelly rockcod,Nototheniidae,"""Notothenia neglecta"""
Notothenia rossii,Marbled rockcod,Nototheniidae,"""Notothenia rossii"""
Nototheniops larseni,Painted notie,Nototheniidae,"""Nototheniops larseni"""
Notropis atherinoides,Emerald shiner,Leuciscidae,"""Notropis atherinoides"""
Notropis buccata,Silverjaw minnow,Leuciscidae,"""Notropis buccata"""
Novaculichthys taeniourus,Rockmover wrasse,Labridae,"""Novaculichthys taeniourus"""
Nuchequula blochii,Twoblotch ponyfish,Leiognathidae,"""Nuchequula blochii"""
Nuchequula gerreoides,Decorated ponyfish,Leiognathidae,"""Nuchequula gerreoides"""
Nuchequula nuchalis,Spotnape ponyfish,Leiognathidae,"""Nuchequula nuchalis"""
Oblada melanurus,Saddled seabream,Sparidae,"""Oblada melanurus"""
Ocyurus chrysurus,Yellowtail snapper,Lutjanidae,"""Ocyurus chrysurus"""
Odax pullus,Butterfish,Odacidae,"""Odax pullus"""
Odontesthes bonariensis,Argentinian silverside,Atherinopsidae,"""Odontesthes bonariensis"""
Odontesthes regia,Chilean silverside,Atherinopsidae,"""Odontesthes regia"""
Odontognathus mucronatus,Guiana longfin herring,Pristigasteridae,"""Odontognathus mucronatus"""
Oedalechilus labeo,Boxlip mullet,Mugilidae,"""Oedalechilus labeo"""
Okamejei acutispina,Sharpspine skate,Rajidae,"""Okamejei acutispina"""
Okamejei hollandi,Yellow-spotted skate,Rajidae,"""Okamejei hollandi"""
Oligocottus maculosus,Tidepool sculpin,Cottidae,"""Oligocottus maculosus"""
Oligosarcus hepsetus,,Characidae,"""Oligosarcus hepsetus"""
Oligosarcus jenynsii,,Characidae,"""Oligosarcus jenynsii"""
Oncorhynchus aguabonita,Golden trout,Salmonidae,"""Oncorhynchus aguabonita"""
Oncorhynchus clarkii,Cutthroat trout,Salmonidae,"""Oncorhynchus clarkii"""
Oncorhynchus keta,Chum salmon,Salmonidae,"""Oncorhynchus keta"""
Oncorhynchus kisutch,Coho salmon,Salmonidae,"""Oncorhynchus kisutch"""
Oncorhynchus masou,Masu salmon,Salmonidae,"""Oncorhynchus masou"""
Oncorhynchus mykiss,Rainbow trout,Salmonidae,"""Oncorhynchus mykiss"""
Oncorhynchus nerka,Sockeye salmon,Salmonidae,"""Oncorhynchus nerka"""
Oneirodes acanthias,Spiny dreamer,Oneirodidae,"""Oneirodes acanthias"""
